195,'IDFeF1',1,F,'FecF1','-',                  'Fecal Matter(1) Iron Group (meter-3)'
196,'IDFeF2',1,F,'FecF2','-',                  'Fecal Matter(2) Iron Group (meter-3)'
197,'IDFeN1',1,F,'FecN1','-',                  'Fecal Matter(1) Nitrogen Group (meter-3)'
198,'IDFeN2',1,F,'FecN2','-',                  'Fecal Matter(2) Nitrogen Group (meter-3)'
199,'IDFeP1',1,F,'FecP1','-',                  'Fecal Matter(1) Phosphorus Group (meter-3)'
200,'IDFeP2',1,F,'FecP2','-',                  'Fecal Matter(2) Phosphorus Group (meter-3)'
201,'IDFeS1',1,F,'FecS1','-',                  'Fecal Matter(1) Silica Group (meter-3)'
202,'IDFeS2',1,F,'FecS2','-',                  'Fecal Matter(2) Silica Group (meter-3)'
203,'IDPhC1',1,F,'PhyC1','-',                  'Phytoplankton(1) Carbon Group (meter-3)'
204,'IDPhC2',1,F,'PhyC2','-',                  'Phytoplankton(2) Carbon Group (meter-3)'
205,'IDPhC3',1,F,'PhyC3','-',                  'Phytoplankton(3) Carbon Group (meter-3)'
206,'IDPhC4',1,F,'PhyC4','-',                  'Phytoplankton(4) Carbon Group (meter-3)'
207,'IDPhF1',1,F,'PhyF1','-',                  'Phytoplankton(1) Iron Group (meter-3)'
208,'IDPhF2',1,F,'PhyF2','-',                  'Phytoplankton(2) Iron Group (meter-3)'
209,'IDPhF3',1,F,'PhyF3','-',                  'Phytoplankton(3) Iron Group (meter-3)'
210,'IDPhF4',1,F,'PhyF4','-',                  'Phytoplankton(4) Iron Group (meter-3)'
211,'IDPhN1',1,F,'PhyN1','-',                  'Phytoplankton(1) Nitrogen Group (meter-3)'
212,'IDPhN2',1,F,'PhyN2','-',                  'Phytoplankton(2) Nitrogen Group (meter-3)'
213,'IDPhN3',1,F,'PhyN3','-',                  'Phytoplankton(3) Nitrogen Group (meter-3)'
214,'IDPhN4',1,F,'PhyN4','-',                  'Phytoplankton(4) Nitrogen Group (meter-3)'
215,'IDPhP1',1,F,'PhyP1','-',                  'Phytoplankton(1) Phosphorus (meter-3)'
216,'IDPhP2',1,F,'PhyP2','-',                  'Phytoplankton(2) Phosphorus (meter-3)'
217,'IDPhP3',1,F,'PhyP3','-',                  'Phytoplankton(3) Phosphorus (meter-3)'
218,'IDPhP4',1,F,'PhyP4','-',                  'Phytoplankton(4) Phosphorus (meter-3)'
219,'IDPhS1',1,F,'PhyS1','-',                  'Phytoplankton(1) Silica Group (meter-3)'
220,'IDPhS2',1,F,'PhyS2','-',                  'Phytoplankton(2) Silica Group (meter-3)'
221,'IDPi11',1,F,'Pigs11','-',                 'Phytoplankton(1) Pigment(1) (mg meter-3)'
222,'IDPi21',1,F,'Pigs21','-',                 'Phytoplankton(2) Pigment(1) (mg meter-3)'
223,'IDPi31',1,F,'Pigs31','-',                 'Phytoplankton(3) Pigment(1) (mg meter-3)'
224,'IDPi41',1,F,'Pigs41','-',                 'Phytoplankton(4) Pigment(1) (mg meter-3)'
225,'IDPi13',1,F,'Pigs13','-',                 'Phytoplankton(1) Pigment(3) (mg meter-3)'
226,'IDPi23',1,F,'Pigs23','-',                 'Phytoplankton(2) Pigment(3) (mg meter-3)'
227,'IDPi33',1,F,'Pigs33','-',                 'Phytoplankton(3) Pigment(3) (mg meter-3)'
228,'IDPi14',1,F,'Pigs14','-',                 'Phytoplankton(1) Pigment(4) (mg meter-3)'
229,'IDPi24',1,F,'Pigs24','-',                 'Phytoplankton(2) Pigment(4) (mg meter-3)'
230,'IDPi34',1,F,'Pigs34','-',                 'Phytoplankton(3) Pigment(4) (mg meter-3)'
231,'IDPi15',1,F,'Pigs15','-',                 'Phytoplankton(1) Pigment(5) (mg meter-3)'
232,'IDPi25',1,F,'Pigs25','-',                 'Phytoplankton(2) Pigment(5) (mg meter-3)'
233,'IDPi35',1,F,'Pigs35','-',                 'Phytoplankton(3) Pigment(5) (mg meter-3)'
234,'IDPi45',1,F,'Pigs45','-',                 'Phytoplankton(4) Pigment(5) (mg meter-3)'
235,'IDPi47',1,F,'Pigs47','-',                 'Phytoplankton(4) Pigment(7) (mg meter-3)'
236,'IDCOL1',4,F,'Pigs11','Pigs21',            'Chorophyll a (mg meter-3)'
237,'IDCOL3',4,F,'Pigs13','Pigs23',            'Chorophyll c (mg meter-3)'
238,'IDCOL4',4,F,'Pigs14','Pigs24',            'Photosynthetic Carotenoids (mg meter-3)'
239,'IDCOL5',4,F,'Pigs15','Pigs25',            'Photoprotective Carotenoids (mg meter-3)'
240,'IDFSSS',1,T,'SSS','-',                    'Sea Surface Salinity (C)'
241,'IDTKE2',1,F,'q2','-',                     'Turbulent Kinetic Energy (m2/s2)'
242,'IDTKEL',1,F,'q2l','-',                    'Turbulent Length-Kinetic Energy (m3/s2)'
243,'IDDETT',1,F,'detritus','-',               'Detritus (mmoles/m3)'
244,'IDSiOH',1,F,'SiOH4','-',                  'Silicate (mmoles/m3)'
245,'IDNPHY',1,F,'nanophytoplankton','-',      'Nanophytoplankton (mmoles/m3)'
246,'IDDIAT',1,F,'diatom','-',                 'Diatom (mmoles/m3)'
247,'IDMiZO',1,F,'microzooplankton','-',       'Microzooplankton (mmoles/m3)'
248,'IDMeZO',1,F,'mesozooplankton','-',        'Mesozooplankton (mmoles/m3)'
249,'IDOPAL',1,F,'opal','-',                   'Opal (mmoles/m3)'
250,'IDOXYG',1,F,'oxygen','-',                 'Oxygen (mmoles/m3)'
251,'IDDIFF',1,T,'diff_factor','-'             'Horizontal Diffusivity Sponge Factor'
252,'IDVISF',1,T,'visc_factor','-'             'Horizontal Viscosity Sponge Factor'
301,'IDTAVG',1,F,'temp_mean','-',              'Potential Temperature (C) Mean'
302,'IDTVAR',1,F,'temp_var','-',               'Potential Temperature Variance'
303,'IDTEOF',1,F,'temp_eof','-',               'Potential Temperature EOF'
304,'IDTERR',1,F,'temp_err','-',               'Potential Temperature Error'
305,'IDTPES',1,F,'temp_es','-',                'Potential Temperature Error Subspace'
306,'IDSAVG',1,F,'salt_mean','-',              'Salinity (PSU) Mean'
307,'IDSVAR',1,F,'salt_var','-',               'Salinity Variance'
308,'IDSEOF',1,F,'salt_eof','-',               'Salinity EOF'
309,'IDSERR',1,F,'salt_err','-',               'Salinity Error'
310,'IDSPES',1,F,'salt_es','-',                'Salinity Error Subspace'
311,'IDZAVG',1,T,'zeta_mean','-',              'Free-surface (m) Mean'
312,'IDZVAR',1,T,'zeta_var','-',               'Free-surface Variance'
313,'IDZEOF',1,T,'zeta_eof','-',               'Free-surface EOF'
314,'IDZERR',1,T,'zeta_err','-',               'Free-surface Error'
315,'IDZPES',1,T,'zeta_es','-',                'Free-surface Error Subspace'
316,'IDUAVG',1,F,'u_mean','-',                 'Total U-velocity (m/s) Mean'
